Datum,Checksum,Aktualnost,Chybi_pocet,Zmena_link_pocet,Ostranit_pocet,Celk_zmen
2020-09-23 17:21:00,04be8f97521ca86d74ffed9ba6f477c7,81,9,0,0,9
2020-09-23 17:29:00,68c1e2efc60f40ccca2587722e62fbf1,83,8,0,0,8
2020-09-23 17:31:00,78e4bc6cb1624e6c520dc88f75730404,85,7,0,0,7
2020-09-23 17:35:00,d720ff9e6347c294ccb2873a73a5e2d8,87,6,0,0,6
2020-09-23 17:49:00,9eaa6f03d75006ce8d9d6bb08440d5e2,88,6,0,0,6
2020-09-23 17:53:00,92d3c2d1dd61d6cb2b382f08b6cc1778,90,5,0,0,5
2020-09-23 17:58:00,4d912b9e82d868e1ba9ab8b76b54994d,92,4,0,0,4
2020-09-23 18:01:00,faa6855cd467641fd8009286eda7a18e,94,3,0,0,3
2020-09-23 18:05:00,85eb13a4a46d8d822ae9a4f469865597,96,2,0,0,2
2020-09-23 18:11:00,9a6dd069c9389c3093a2bf0617bf6456,92,4,0,0,4
2020-09-23 18:46:00,f53b22f5960a7833005b35f9d51624a1,94,3,0,0,3
2020-09-23 19:51:00,fe2ca5fd13db134674137d60fa3b9ae2,96,2,0,0,2
2020-09-23 21:00:00,c5e0b8005c0043e1ca16e7f98fa01c42,98,1,0,0,1
2020-09-23 21:06:00,642aa106ecdbab0845367ae509fdf3cf,100,0,0,0,0
2020-09-24 12:40:00,f131c64501feeec1cc023b6c642f184a,100,0,0,0,0
2020-09-24 12:41:00,3eb60065f39e73f14728b2172951ff70,100,0,0,0,0
2020-09-24 12:43:00,f4353f31f177de1e9e4d108b8ee0ed23,100,0,0,0,0
2020-09-24 19:19:00,a15fcd64de73d9e18a38158cae0a9b9d,98,1,0,0,1
2020-09-25 12:19:00,c81d3c6908a64d89475378d1f1e34205,100,0,0,0,0
2020-09-25 16:48:00,c6fcd4c0db4fe6f6b0bcb51c3e7c5edd,94,0,0,3,3
2020-09-25 16:59:00,b7f355191d5891e05a10076792fa8c23,91,3,0,2,5
2020-09-25 17:18:00,1c2540c760f8017598479e97dbfcf2cd,92,2,0,2,4
